         1              2          3        4     5      6     7      8     9     10    11     12    13     14     15     16     17      18     19       20    21     22     23    24     25    26     27    28     29   30   31      32   33 34 35 36      37     38 39 40 41 42 43 44   45    46    47    48   49  50 51   52   53       54    55 56 57 58 59 60 61    62    63     64    65     66    67     68    69     70    71             72                   73                74
      SDSS J          R.A. (2000)  Dec.     z         u            g            r            i            z        A_u  log NH  FIRST    S/N    "      ROSAT   S/N    "      2MASS J      2MASS H      2MASS K      "   Flg   M_i   D(g-i) Mp SP Bl Um  BEST Flag  Lz Hz FT RT Sr St Gx  Run  R_MJD S_MJD Plate Fib Prs Col Frm  Obj TARGET Flag Lz Hz FT RT Sr St Gx   u_TARGET     g_TARGET     r_TARGET     i_TARGET     z_TARGET          BestObjID            SpecObjID         Other Name
000016.43-001833.3   0.068466  -0.309277 0.7030 18.533 0.031 17.973 0.092 17.811 0.021 17.695 0.023 17.594 0.024  0.175 20.505  0.000   0.000  0.000  -9.000  0.000  0.000 16.547 0.132 16.220 0.207 15.092 0.126  0.516 13 -25.245  0.244  0  0  2  0           2  1  0  0  0  0  0  0  6372 53997 52991 1489  142  40  6   66   49           2  1  0  0  0  0  0  0 18.533 0.031 17.973 0.092 17.811 0.021 17.695 0.023 17.594 0.024   587747122129010737   419343835529740288 SDSS J000016.43-001833.4 
000017.38-085123.7   0.072423  -8.856608 1.2491 19.195 0.034 18.741 0.020 18.271 0.021 18.283 0.036 18.257 0.037  0.194 20.462 13.966  62.733  0.538  -9.000  0.000  0.000 17.148 0.255 16.681 0.275  0.000 0.000  0.000 24 -26.053  0.112  0  1  1  0     3145738  1  0  1  0  1  0  0  1740 51814 52143  650  459  40  6   22   33     3145748  1  0  1  0  1  0  0 19.216 0.029 18.741 0.013 18.285 0.010 18.265 0.012 18.239 0.033   587727227837612065   183182689266827264 FBQS J0000-0851          
000017.88+002612.6   0.074530   0.436838 0.5457 20.174 0.059 19.900 0.028 19.849 0.031 19.634 0.030 19.596 0.083  0.132 20.496  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -22.673  0.152  0  0  1  0    34603008  0  0  0  0  1  0  0  3325 52522 52203  685  462  41  5  108  147     1048576  0  0  0  0  1  0  0 20.219 0.063 19.804 0.019 19.803 0.025 19.512 0.032 19.245 0.083   588015509806252179   193034571162320896 SDSS J000017.88+002612.6 
000024.02+152005.4   0.100116  15.334845 0.9889 19.421 0.044 19.180 0.035 18.973 0.015 19.059 0.023 19.120 0.060  0.220 20.553 -1.000   0.000  0.000  -1.877  2.017 20.600  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.727 -0.050  0  1  1  1   134225410  1  0  0  1  0  0  0  1739 51814 52235  750  500  40  4  303  109   134224898  1  0  0  1  0  0  0 19.469 0.040 19.189 0.023 18.985 0.017 19.081 0.018 19.186 0.062   587727222487318637   211330582246850560 SDSS J000024.02+152005.4 
000024.83+245703.3   0.103459  24.950936 3.2137 21.679 0.206 20.325 0.025 20.100 0.027 20.087 0.031 19.836 0.113  0.395 20.677 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000 16.140 0.279  0.000  2 -26.498 -0.244  0  0  1  0           0  0  0  0  0  0  0  0  4836 53265 54389 2822  315  40  4  366  217           0  0  0  0  0  0  0  0 21.679 0.206 20.325 0.025 20.100 0.027 20.087 0.031 19.836 0.113   587740524005163225   794555984574939136                          
000025.21+291609.2   0.105059  29.269232 0.9243 20.510 0.063 20.295 0.030 20.129 0.027 20.152 0.036 20.096 0.116  0.305 20.702 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -23.505 -0.001  0  0  1  0    34603008  0  0  0  0  1  0  0  4152 52911 54452 2824  393 648  3   98  290    34603008  0  0  0  0  1  0  0 20.510 0.063 20.295 0.030 20.129 0.027 20.152 0.036 20.096 0.116   758874371533177122   795119205438455808                          
000025.93+242417.5   0.108071  24.404882 1.1560 21.148 0.096 20.483 0.024 19.964 0.021 19.824 0.028 19.750 0.072  0.438 20.679 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000 16.040 0.273  0.000  2 -24.426  0.301  0  0  1  0           0  0  0  0  0  0  0  0  4851 53271 54389 2822  318  40  2   32  234           0  0  0  0  0  0  0  0 21.148 0.096 20.483 0.024 19.964 0.021 19.824 0.028 19.750 0.072   587740587334041834   794555984587522048                          
000026.29+134604.6   0.109582  13.767969 0.7676 19.345 0.030 19.000 0.023 18.922 0.023 18.988 0.022 18.817 0.042  0.297 20.572 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000 16.340 0.249 15.775 0.220  0.000  8 -24.215 -0.030  0  1  1  1     1048578  1  0  0  0  1  0  0  2566 52170 52235  750   87  40  1  309   37     1048578  1  0  0  0  1  0  0 19.331 0.026 19.024 0.014 18.946 0.013 19.009 0.033 18.833 0.041   587730772815052837   211330580514603008 SDSS J000026.29+134604.6 
000028.82-102755.7   0.120087 -10.465497 1.1518 20.453 0.086 19.687 0.030 19.162 0.016 19.128 0.023 19.058 0.061  0.199 20.446 15.450  16.901  0.413  -9.000  0.000  0.000 17.507 0.325  0.000 0.000  0.000 0.000  0.000 18 -25.016  0.277  0  1  1  0     2097160  0  0  1  0  1  0  0  1740 51814 52143  650  169  40  2   23  125     2097168  0  0  1  0  1  0  0 20.353 0.081 19.653 0.020 19.163 0.017 19.109 0.019 19.082 0.063   587727225690194045   183182688050479104 FBQS J0000-1027          
000030.37-002732.4   0.126577  -0.459003 1.8055 20.411 0.070 20.246 0.030 20.130 0.026 19.823 0.030 19.705 0.090  0.210 20.496  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.387  0.116  0  0  1  0    34603008  0  0  0  0  1  0  0  2662 52197 52203  685  147  40  2  283  185     1048576  0  0  0  0  1  0  0 20.277 0.054 20.003 0.017 19.961 0.022 19.595 0.024 19.774 0.117   587731185667080377   193034569841115136 SDSS J000030.37-002732.4 
000031.86+010305.2   0.132785   1.051464 1.0927 20.565 0.070 20.100 0.023 19.636 0.020 19.586 0.030 19.558 0.083  0.132 20.497  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.405  0.295  0  0  1  0    33554432  0  0  0  0  0  0  0  2662 52197 52203  685  505  40  6  283  169     1179648  0  0  0  0  1  1  0 20.176 0.068 19.920 0.020 19.466 0.021 19.406 0.029 19.299 0.094   587731187814564009   193034571342675968 SDSS J000031.86+010305.2 
000032.70-005512.9   0.136253  -0.920264 1.5253 19.936 0.045 19.808 0.031 19.731 0.024 19.570 0.030 19.688 0.092  0.192 20.504  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.239 -0.114  0  0  1  0    34603008  0  0  0  0  1  0  0  2662 52197 52203  685  184  40  1  283  143     1048576  0  0  0  0  1  0  0 20.053 0.042 19.941 0.019 19.798 0.020 19.640 0.028 19.652 0.111   587731185130209423   193034569996304384 SDSS J000032.70-005512.9 
